type,par_rank,tier,female,k_rank
1.0,0.5246889926452004,9,0.59944749,0.49633929
2.0,0.7093618799192019,4,0.61378205,0.66794902
2.0,0.6214025219281515,6,0.72812498,0.64182681
2.0,0.6652976418081749,6,0.2659511,0.79506242
1.0,0.5011702080567678,9,0.56106871,0.46682271
1.0,0.5810222681814818,5,0.60470456,0.55803454
2.0,0.5570677320162455,6,0.53024912,0.57407296
1.0,0.7539451410451712,3,0.47578016,0.69215232
1.0,0.4445582119834344,9,0.56821191,0.45707762
3.0,0.3515919943650563,12,0.9696969999999999,0.38434976
1.0,0.5139560282185797,9,0.53702319,0.49519703
1.0,0.5593695063596656,5,0.52163607,0.58445096
1.0,0.5016668503976938,9,0.51851851,0.51219392
1.0,0.4550380937172624,9,0.55075848,0.5126363
1.0,0.5224218678561761,9,0.5750916,0.46355543
1.0,0.4026519172127892,9,0.5778302,0.48866761
1.0,0.5598722694553873,9,0.48081729,0.52028018
1.0,0.4754648688564555,9,0.51239365,0.50574034
1.0,0.6525065811536964,5,0.55079985,0.59393632
1.0,0.4457048905896954,9,0.51464844,0.5038774
1.0,0.5454504267467354,9,0.52623904,0.48053005
2.0,0.6615841058076886,6,0.57014155,0.68924105
1.0,0.3708315988381704,9,0.375,0.49631301
2.0,0.516442875067393,6,0.59203982,0.5588879
2.0,0.8495859973309404,2,0.54915255,0.72059071
1.0,0.4747710452209903,9,0.50974661,0.56075186
2.0,0.6948967686762525,6,0.64620358,0.63378656
2.0,0.8406369270893131,2,0.51829267,0.76094705
2.0,0.6931122553616701,8,0.40899795,0.60448301
1.0,0.4612525992991974,7,0.57021677,0.48996186
1.0,0.7452861662026075,5,0.64691269,0.59985441
1.0,0.5089963969173618,7,0.61513424,0.49825534
1.0,0.6175682111444545,9,0.48780784,0.52450532
3.0,0.3228860795497894,11,0.77990431,0.4557018
2.0,0.6580257018407186,6,0.55084747,0.62806821
1.0,0.635388672036661,9,0.51840556,0.55204558
1.0,0.6126473654322454,9,0.44603902,0.50812858
2.0,0.6522549340613737,6,0.65529013,0.6175763000000001
2.0,0.655511717001597,6,0.55054152,0.73168373
1.0,0.7588835688638549,2,0.59034556,0.7383696999999999
2.0,0.3944235610532331,6,0.9009009,0.53543437
2.0,0.6276388535931551,6,0.72125435,0.65721375
2.0,0.7246676075369564,6,0.99776119,0.6619162
2.0,0.5801763688580374,6,0.99157304,0.60133547
2.0,0.6520907808326988,6,0.74279213,0.64994395
2.0,0.6523489356040955,6,0.73363096,0.69518101
1.0,0.4875104460895222,9,0.54457104,0.49254397
1.0,0.6419102098464446,9,0.57997823,0.58424383
1.0,0.5403621382768112,7,0.52703053,0.50479221
1.0,0.5590019815261171,5,0.51493633,0.5988602
1.0,0.4459057451147614,9,0.62595421,0.44459864
1.0,0.6299408295092479,9,0.47413486,0.54265928
1.0,0.4270197087390183,9,0.50893742,0.50220424
2.0,0.8187284249067307,2,0.51899999,0.77327204
1.0,0.536970952787749,9,0.56650245,0.53703713
1.0,0.4591628915717449,9,0.55911332,0.45463851
2.0,0.4172342916329702,6,0.54233408,0.5337525
1.0,0.4874979994617258,9,0.50093925,0.44118643
1.0,0.4548784696553669,9,0.50623345,0.5033133
1.0,0.4848089186753628,9,0.39806762,0.49807233
3.0,0.4740971128145854,10,0.46590909,0.55974501
1.0,0.818497437084865,2,0.5740416,0.72144502
2.0,0.7362371346513084,6,0.52025419,0.65276635
2.0,0.4143471338423381,8,0.65863454,0.41501805
1.0,0.6626080228185647,9,0.48714635,0.54819107
2.0,0.6886439522107443,6,0.60382515,0.5365696
2.0,0.776341992951069,4,0.55709571,0.63193965
1.0,0.5857252084724502,5,0.52169424,0.56082463
1.0,0.6129389090936667,7,0.45199817,0.48017833
1.0,0.5514329998056886,9,0.44666088,0.55882454
1.0,0.7278566098539159,3,0.25325522,0.80051935
1.0,0.7422638024292774,5,0.52779895,0.64395463
1.0,0.5676546692848206,5,0.54809618,0.58667707
3.0,0.4588566971462597,10,0.57797581,0.49058533
1.0,0.5121726195017496,9,0.52782464,0.53250098
1.0,0.5859593350773618,7,0.49836707,0.54562998
2.0,0.6182933511067862,6,0.48874396,0.51447326
2.0,0.5187441036005593,6,0.60445434,0.52652687
2.0,0.5290433609288586,6,0.99276859,0.55602545
2.0,0.5546895861625671,8,0.68398267,0.44134191
1.0,0.5685412823099902,9,0.58751351,0.50565451
2.0,0.7950716155513566,1,0.45593357,0.75204265
2.0,0.6345768769582113,8,0.4826884,0.53546059
1.0,0.5677364811442313,9,0.51594818,0.52911115
1.0,0.5654711133711565,5,0.60912865,0.55869597
1.0,0.3996617550651233,9,0.59583336,0.45272124
1.0,0.5299625956082352,9,0.49632740000000003,0.50231719
1.0,0.5587823067554585,9,0.55088443,0.53920448
1.0,0.5328224102656046,9,0.46394232,0.53110129
1.0,0.4150371732698899,9,0.57937425,0.49695396
1.0,0.5141188876386111,9,0.48617223,0.50673532
1.0,0.5248031518257862,5,0.56819695,0.5328305999999999
2.0,0.6510152870610969,6,0.61357564,0.65302819
2.0,0.6051926862361819,6,0.54382825,0.60950041
2.0,0.6179852988068691,6,0.57678783,0.58546746
2.0,0.6426084240277609,6,0.49756098,0.64885706
2.0,0.6666803172176354,6,0.66500831,0.58319998
2.0,0.6452390969156505,6,0.66467065,0.59751767
2.0,0.6372201274818098,6,0.64006257,0.56346309
2.0,0.6039256915506899,6,0.55400252,0.57449234
2.0,0.8033982330901693,2,0.59548753,0.69052476
1.0,0.4380629193511876,9,0.59818184,0.49340290000000003
3.0,0.6302226185798645,12,0.084677421,0.53579742
1.0,0.621625185345446,9,0.48887244,0.53796673
2.0,0.6450714566241735,6,0.99310344,0.52542156
2.0,0.6902030041979103,2,0.35946462,0.70362669
1.0,0.3921824991703033,9,0.55722177,0.50301397
1.0,0.4431960928452247,9,0.47808358,0.50203604
2.0,0.6275536452851644,6,0.60243905,0.52840483
2.0,0.6480506062507629,6,0.61764705,0.64511275
2.0,0.7695405843640016,1,0.48373455,0.77441031
2.0,0.6386332710802097,6,0.6169045,0.50455505
1.0,0.517803377183249,9,0.5078630999999999,0.51962632
2.0,0.6605942249298096,8,0.60765553,0.49605197
1.0,0.3793946264421239,9,0.55000001,0.45501232
1.0,0.6887878974278768,9,0.43718079,0.57404006
2.0,0.6552996322946641,6,0.60194176,0.52500248
1.0,0.5753063458636329,9,0.5436573,0.51274186
3.0,0.40255686081945896,11,0.069196425,0.53687489
1.0,0.4775704636243777,9,0.47881356,0.52749807
2.0,0.7604028383890786,6,0.60164833,0.72071022
3.0,0.3633160193761189,11,0.073717952,0.61473453
1.0,0.4380751370784195,9,0.55244255,0.47139215
2.0,0.567451200195562,8,0.57710278,0.52588528
1.0,0.6014046487995786,9,0.47643515,0.5294916000000001
2.0,0.6944811361732531,8,0.30759573,0.61223066
2.0,0.5919803103040868,6,0.54720616,0.60911143
1.0,0.500262514123016,9,0.57503235,0.54234427
2.0,0.5400938017515359,6,0.4537445,0.58177781
2.0,0.6880450109873134,6,0.47758284,0.59097224
1.0,0.48587951064109797,9,0.55222178,0.49351677
1.0,0.3886942373726793,9,0.57515031,0.46836969
2.0,0.5538152411995289,6,0.78637773,0.64022744
1.0,0.5017933423115202,9,0.50619835,0.52847707
2.0,0.5843419510316341,6,0.76196808,0.61420691
1.0,0.4535419559243865,9,0.45320198,0.58163691
2.0,0.6432142373607402,6,0.56616801,0.57328808
1.0,0.5121656150702858,9,0.52034146,0.53377128
1.0,0.5135564456498418,7,0.57017136,0.51712179
3.0,0.6770222577310744,10,0.18809524,0.69364125
1.0,0.4975489960992444,9,0.54198474,0.51150763
1.0,0.4784153422238293,9,0.52397746,0.50461733
2.0,0.8312285536902656,1,0.48192772,0.76683617
1.0,0.5090216397899509,9,0.61652422,0.51247728
2.0,0.4691723326151104,6,0.67474532,0.47117141
2.0,0.8582254845758215,2,0.51710099,0.7151137
1.0,0.497470285752954,9,0.61153519,0.46858937
2.0,0.5555867096175724,6,0.62116992,0.53324074
1.0,0.6035815763967642,9,0.40414509,0.52577847
1.0,0.45488793458634796,9,0.45983379999999996,0.53092474
1.0,0.4652543890292136,7,0.5686838000000001,0.47118291
2.0,0.7542857375494234,6,0.56050956,0.6995616
